name,postcode,last_processed,changesets
Westbrook,2330,2021-03-31,102036221
Whittingham,2330,2021-03-31,102041863
Wollemi,2330,2021-03-31,N/A
Wylies Flat,2330,2021-03-31,N/A
Baerami,2333,2021-06-05,N/A
Baerami Creek,2333,2021-06-05,N/A
Bengalla,2333,,
Castle Rock,2333,2021-06-05,N/A
Edderton,2333,,
Gungal,2333,,
Kayuga,2333,2021-06-05,N/A
Liddell,2333,,
Manobalai,2333,,
Mccullys Gap,2333,,
Muscle Creek,2333,,
Muswellbrook,2333,,
Sandy Hollow,2333,,
Wybong,2333,2021-06-05,N/A
Greta,2334,,
Belford,2335,,
Branxton,2335,,
Dalwood,2335,,
East Branxton,2335,,
Elderslie,2335,,
Lambs Valley,2335,,
Leconfield,2335,,
Lower Belford,2335,,
North Rothbury,2335,,
Stanhope,2335,,
Aberdeen,2336,,
Dartbrook,2336,,
Davis Creek,2336,,
Rossgole,2336,2021-06-05,N/A
Rouchel,2336,,
Rouchel Brook,2336,,
Upper Dartbrook,2336,,
Upper Rouchel,2336,,
Belltrees,2337,,
Brawboy,2337,,
Bunnan,2337,,
Dry Creek,2337,2021-02-14,N/A
Ellerston,2337,,
Glenbawn,2337,,
Glenrock,2337,,
Gundy,2337,2021-02-14,N/A
Kars Springs,2337,,
Middle Brook,2337,,
Moobi,2337,2021-06-05,N/A
Moonan Brook,2337,,
Moonan Flat,2337,,
Murulla,2337,,
Omadale,2337,,
Owens Gap,2337,,
Pages Creek,2337,,
Parkville,2337,,
Scone,2337,,
Segenhoe,2337,,
Stewarts Brook,2337,,
Tomalla,2337,,
Waverly,2337,,
Wingen,2337,,
Woolooma,2337,,
Ardglen,2338,,
Blandford,2338,,
Crawney,2338,,
Green Creek,2338,2021-02-14,N/A
Murrurundi,2338,2021-02-14,N/A
Pages River,2338,2021-02-14,N/A
Sandy Creek,2338,2021-02-14,N/A
Scotts Creek,2338,2021-02-14,N/A
Timor,2338,2021-02-14,N/A
Big Jacks Creek,2339,2021-02-14,N/A
Braefield,2339,,
Cattle Creek,2339,,
Chilcotts Creek,2339,,
Little Jacks Creek,2339,2021-02-14,N/A
Macdonalds Creek,2339,2021-02-14,N/A
Parraweena,2339,2021-02-14,N/A
Warrah,2339,,
Warrah Creek,2339,,
Willow Tree,2339,,
Appleby,2340,,
Barry,2340,,
Bective,2340,,
Bithramere,2340,,
Bowling Alley Point,2340,,
Calala,2340,,
Carroll,2340,,
Daruka,2340,,
Duncans Creek,2340,,
Dungowan,2340,,
East Tamworth,2340,,
Garoo,2340,,
Gidley,2340,,
Goonoo Goonoo,2340,,
Gowrie,2340,,
Hallsville,2340,,
Hanging Rock,2340,,
Hillvue,2340,,
Keepit,2340,,
Kingswood,2340,,
Loomberah,2340,,
Moore Creek,2340,,
Nemingha,2340,,
North Tamworth,2340,,
Nundle,2340,,
Ogunbil,2340,,
Oxley Vale,2340,,
Piallamore,2340,,
Somerton,2340,,
South Tamworth,2340,,
Taminda,2340,,
Tamworth,2340,,
Timbumburi,2340,,
Wallamore,2340,,
Warral,2340,,
Weabonga,2340,,
West Tamworth,2340,,
Westdale,2340,,
Woolomin,2340,,
Werris Creek,2341,,
Currabubula,2342,,
Piallaway,2342,,
Blackville,2343,,
Borambil,2343,,
Bundella,2343,,
Caroona,2343,,
Colly Blue,2343,,
Coomoo Coomoo,2343,,
Pine Ridge,2343,,
Quipolly,2343,,
Quirindi,2343,,
Spring Ridge,2343,,
Wallabadah,2343,,
Warrah Ridge,2343,,
Windy,2343,,
Yannergee,2343,,
Yarraman,2343,,
Duri,2344,,
Winton,2344,,
Attunga,2345,,
Garthowen,2345,,
Borah Creek,2346,,
Halls Creek,2346,2021-06-05,N/A
Klori,2346,,
Manilla,2346,,
Namoi River,2346,2021-06-05,N/A
New Mexico,2346,,
Rushes Creek,2346,,
Upper Manilla,2346,,
Warrabah,2346,2021-06-05,N/A
Wimborne,2346,,
Wongo Creek,2346,,
Banoon,2347,,
Barraba,2347,,
Cobbadah,2347,,
Gulf Creek,2347,2021-06-05,N/A
Gundamulda,2347,2021-06-05,N/A
Ironbark,2347,2021-06-05,N/A
Lindesay,2347,,
Longarm,2347,,
Mayvale,2347,,
Red Hill,2347,,
Thirldene,2347,2021-06-05,N/A
Upper Horton,2347,,
Woodsreef,2347,2021-06-05,N/A
Aberfoyle,2350,,
Abington,2350,2021-06-05,N/A
Armidale,2350,,
Boorolong,2350,,
Castle Doyle,2350,,
Dangarsleigh,2350,,
Donald Creek,2350,,
Dumaresq,2350,,
Duval,2350,,
Enmore,2350,,
Hillgrove,2350,,
Invergowrie,2350,,
Jeogla,2350,,
Kellys Plains,2350,,
Lyndhurst,2350,,
Metz,2350,,
Puddledock,2350,,
Saumarez,2350,,
Saumarez Ponds,2350,,
Thalgarrah,2350,,
Tilbuster,2350,,
Wards Mistake,2350,,
Wollomombi,2350,,
Wongwibinda,2350,,
Kootingal,2352,,
Limbri,2352,,
Mulla Creek,2352,,
Tintinhull,2352,,
Moonbi,2353,,
Kentucky,2354,,
Kentucky South,2354,,
Niangala,2354,,
Nowendoc,2354,,
Walcha,2354,,
Walcha Road,2354,,
Wollun,2354,,
Woolbrook,2354,,
Yarrowitch,2354,,
Bendemeer,2355,,
Retreat,2355,,
Watsons Creek,2355,,
Gwabegar,2356,,
Bugaldie,2357,,
Coonabarabran,2357,,
Dandry,2357,,
Gowang,2357,2021-06-05,N/A
Purlewaugh,2357,,
Rocky Glen,2357,,
Ulamambri,2357,,
Arding,2358,,
Balala,2358,,
Gostwyck,2358,,
Kingstown,2358,,
Mihi,2358,,
Rocky River,2358,,
Salisbury Plains,2358,,
Torryburn,2358,2021-06-05,N/A
Uralla,2358,,
Yarrowyck,2358,,
Bakers Creek,2359,2021-06-05,N/A
Bundarra,2359,,
Camerons Creek,2359,2021-06-05,N/A
Auburn Vale,2360,,
Brodies Plains,2360,,
Bukkulla,2360,,
Cherry Tree Hill,2360,2021-06-05,N/A
Copeton,2360,,
Elsmore,2360,,
Gilgai,2360,,
Graman,2360,2021-06-05,N/A
Gum Flat,2360,,
Howell,2360,,
Inverell,2360,,
Kings Plains,2360,,
Little Plain,2360,,
Long Plain,2360,,
Mount Russell,2360,2021-06-05,N/A
Newstead,2360,,
Nullamanna,2360,,
Oakwood,2360,2021-06-05,N/A
Paradise,2360,,
Rob Roy,2360,,
Sapphire,2360,,
Spring Mountain,2360,,
Stanborough,2360,,
Swanbrook,2360,,
Wallangra,2360,2021-06-05,N/A
Wandera,2360,,
Woodstock,2360,,
Ashford,2361,,
Atholwood,2361,,
Bonshaw,2361,,
Limestone,2361,,
Pindaroi,2361,,
Backwater,2365,,
Bald Blair,2365,,
Baldersleigh,2365,2021-06-05,N/A
Bassendean,2365,,
Ben Lomond,2365,,
Black Mountain,2365,,
Briarbrook,2365,2021-06-05,N/A
Brockley,2365,,
Brushy Creek,2365,2021-06-05,N/A
Falconer,2365,,
Georges Creek,2365,,
Glen Nevis,2365,,
Glencoe,2365,,
Green Hills,2365,,
Guyra,2365,,
Llangothlin,2365,,
Maybole,2365,,
Mount Mitchell,2365,,
New Valley,2365,2021-06-05,N/A
Oban,2365,,
South Guyra,2365,,
Tenterden,2365,2021-06-05,N/A
The Basin,2365,2021-06-05,N/A
The Gulf,2365,,
Tubbamurra,2365,,
Wandsworth,2365,,
Old Mill,2369,2021-06-05,N/A
Stannifer,2369,,
Tingha,2369,,
Bald Nob,2370,,
Diehard,2370,,
Dundee,2370,,
Furracabad,2370,,
Gibraltar Range,2370,,
Glen Elgin,2370,,
Glen Innes,2370,,
Kingsgate,2370,,
Kingsland,2370,,
Kookabookra,2370,,
Lambs Valley,2370,,
Matheson,2370,,
Moggs Swamp,2370,,
Moogem,2370,,
Morven,2370,,
Newton Boyd,2370,,
Pinkett,2370,,
Rangers Valley,2370,,
Red Range,2370,,
Reddestone,2370,,
Shannon Vale,2370,,
Stonehenge,2370,,
Swan Vale,2370,,
Wellingrove,2370,,
Yarrowford,2370,,
Capoompeta,2371,,
Deepwater,2371,,
Emmaville,2371,,
Rocky Creek,2371,,
Stannum,2371,,
Torrington,2371,,
Wellington Vale,2371,,
Yellow Dam,2371,,
Back Creek,2372,,
Bolivia,2372,,
Bookookoorara,2372,,
Boonoo Boonoo,2372,,
Boorook,2372,,
Carrolls Creek,2372,,
Cullendore,2372,,
Dumaresq Valley,2372,,
Forest Land,2372,,
Liston,2372,,
Mole River,2372,,
Rivertree,2372,,
Rocky River,2372,,
Sandy Flat,2372,,
Sandy Hill,2372,,
Silent Grove,2372,,
Tarban,2372,,
Tenterfield,2372,,
Timbarra,2372,,
Willsons Downfall,2372,,
Woodside,2372,,
Wylie Creek,2372,,
Goolhi,2379,,
Mullaley,2379,,
Nombi,2379,,
Blue Vale,2380,,
Emerald Hill,2380,,
Ghoolendaadi,2380,,
Gunnedah,2380,,
Kelvin,2380,,
Marys Mount,2380,,
Milroy,2380,,
Orange Grove,2380,,
Rangari,2380,,
Breeza,2381,,
Curlewis,2381,,
Premer,2381,,
Tambar Springs,2381,,
Boggabri,2382,,
Maules Creek,2382,,
Wean,2382,,
Willala,2382,,
Burren Junction,2386,,
Drildool,2386,,
Nowley,2386,,
Bulyeroi,2387,,
Rowena,2387,,
Boolcarroll,2388,,
Cuttabri,2388,,
Merah North,2388,,
Pilliga,2388,,
Spring Plains,2388,,
The Pilliga,2388,,
Wee Waa,2388,,
Yarrie Lake,2388,,
Baan Baa,2390,,
Back Creek,2390,,
Berrigal,2390,,
Bohena Creek,2390,,
Bullawa Creek,2390,,
Couradda,2390,,
Edgeroi,2390,,
Eulah Creek,2390,,
Harparary,2390,,
Jacks Creek,2390,,
Kaputar,2390,,
Narrabri,2390,,
Rocky Creek,2390,,
Tarriaro,2390,,
Turrawan,2390,,
Binnaway,2395,,
Weetaliba,2395,,
Baradine,2396,,
Goorianawa,2396,,
Kenebri,2396,,
Bellata,2397,,
Jews Lagoon,2397,,
Millie,2397,,
Gurley,2398,,
Biniguy,2399,,
Pallamallawa,2399,,
Ashley,2400,,
Bullarah,2400,,
Crooble,2400,,
Mallowa,2400,,
Moree,2400,,
Terry Hie Hie,2400,,
Tulloona,2400,,
Gravesend,2401,,
Coolatai,2402,,
Warialda,2402,,
Warialda Rail,2402,,
Balfours Peak,2403,,
Delungra,2403,,
Gragin,2403,2021-06-05,N/A
Myall Creek,2403,,
Bangheet,2404,,
Bingara,2404,,
Dinoga,2404,,
Elcombe,2404,,
Gineroi,2404,,
Keera,2404,,
Pallal,2404,,
Upper Bingara,2404,,
Whitlow,2404,,
Boomi,2405,,
Garah,2405,,
Mungindi,2406,,
Weemelah,2406,,
Blue Nobby,2408,,
North Star,2408,,
Yallaroi,2408,,
Boggabilla,2409,,
Boonal,2409,,
Twin Rivers,2410,,
Yetman,2410,,
Croppa Creek,2411,,
Monkerai,2415,,
Nooroo,2415,,
Stroud Road,2415,,
Upper Karuah River,2415,,
Weismantels,2415,,
Alison,2420,,
Bandon Grove,2420,,
Bendolba,2420,,
Brookfield,2420,,
Cambra,2420,,
Chichester,2420,,
Dungog,2420,,
Flat Tops,2420,2021-03-01,N/A
Fosterton,2420,,
Hanleys Creek,2420,,
Hilldale,2420,,
Main Creek,2420,,
Marshdale,2420,,
Martins Creek,2420,,
Munni,2420,,
Salisbury,2420,,
Stroud Hill,2420,,
Sugarloaf,2420,,
Tabbil Creek,2420,,
Underbank,2420,,
Wallaringa,2420,,
Wallarobba,2420,,
Wirragulla,2420,,
Fishers Hill,2421,,
Paterson,2421,,
Summer Hill,2421,,
Tocal,2421,2021-02-14,N/A
Torryburn,2421,,
Vacy,2421,,
Webbers Creek,2421,,
Back Creek,2422,,
Bakers Creek,2422,,
Barrington,2422,,
Barrington Tops,2422,,
Baxters Ridge,2422,,
Belbora,2422,,
Berrico,2422,,
Bindera,2422,,
Bowman,2422,,
Bowman Farm,2422,,
Bretti,2422,,
Bulliac,2422,,
Bundook,2422,,
Callaghans Creek,2422,,
Cobark,2422,,
Coneac,2422,,
Copeland,2422,,
Craven,2422,,
Craven Plateau,2422,,
Curricabark,2422,,
Dewitt,2422,,
Faulkland,2422,,
Forbesdale,2422,,
Gangat,2422,,
Giro,2422,,
Glen Ward,2422,,
Gloucester,2422,,
Gloucester Tops,2422,,
Invergordon,2422,,
Kia Ora,2422,,
Mares Run,2422,,
Mernot,2422,,
Mograni,2422,,
Moppy,2422,,
Rawdon Vale,2422,,
Rookhurst,2422,,
Stratford,2422,,
Terreel,2422,,
Tibbuc,2422,,
Titaatee Creek,2422,,
Tugrabakh,2422,,
Wallanbah,2422,,
Wards River,2422,,
Waukivory,2422,,
Woko,2422,,
Bombah Point,2423,,
Boolambayte,2423,,
Bulahdelah,2423,,
Bungwahl,2423,,
Coolongolook,2423,,
Crawford River,2423,,
Markwell,2423,,
Mayers Flat,2423,,
Mungo Brush,2423,,
Myall Lake,2423,,
Nerong,2423,,
Seal Rocks,2423,,
Topi Topi,2423,,
Upper Myall,2423,,
Violet Hill,2423,,
Wang Wauk,2423,,
Warranulla,2423,,
Willina,2423,,
Wootton,2423,,
Yagon,2423,,
Caffreys Flat,2424,,
Cells River,2424,,
Cooplacurripa,2424,,
Cundle Flat,2424,,
Knorrit Flat,2424,,
Knorrit Forest,2424,,
Mount George,2424,,
Number One,2424,,
Tiri,2424,,
Allworth,2425,,
Booral,2425,,
Girvan,2425,,
Stroud,2425,,
The Branch,2425,,
Washpool,2425,,
Coopernook,2426,,
Langley Vale,2426,,
Moto,2426,,
Crowdy Head,2427,2021-11-12,N/A
Harrington,2427,,
Blueys Beach,2428,,
Boomerang Beach,2428,,
Booti Booti,2428,,
Charlotte Bay,2428,,
Coomba Bay,2428,,
Coomba Park,2428,,
Darawank,2428,,
Elizabeth Beach,2428,,
Forster,2428,,
Green Point,2428,,
Sandbar,2428,,
Shallow Bay,2428,,
Smiths Lake,2428,,
Tarbuck Bay,2428,,
Tiona,2428,,
Tuncurry,2428,,
Wallingat,2428,,
Wallis Lake,2428,,
Whoota,2428,,
Bobin,2429,,
Boorganna,2429,,
Bucca Wauka,2429,,
Bulga Forest,2429,,
Bunyah,2429,,
Burrell Creek,2429,,
Caparra,2429,,
Cedar Party,2429,,
Comboyne,2429,,
Dingo Forest,2429,,
Dollys Flat,2429,,
Dyers Crossing,2429,,
Elands,2429,,
Firefly,2429,,
Innes View,2429,,
Karaak Flat,2429,,
Khatambuhl,2429,,
Killabakh,2429,,
Killawarra,2429,,
Kimbriki,2429,,
Kippaxs,2429,,
Krambach,2429,,
Kundibakh,2429,,
Marlee,2429,,
Mooral Creek,2429,,
Strathcedar,2429,,
The Bight,2429,,
Tipperary,2429,,
Wherrol Flat,2429,,
Wingham,2429,,
Yarratt Forest,2429,,
Black Head,2430,,
Bohnock,2430,,
Bootawa,2430,,
Brimbin,2430,,
Cabbage Tree Island,2430,,
Croki,2430,,
Cundletown,2430,,
Diamond Beach,2430,2021-11-12,N/A
Dumaresq Island,2430,,
Failford,2430,,
Ghinni Ghinni,2430,,
Glenthorne,2430,,
Hallidays Point,2430,,
Hillville,2430,,
Jones Island,2430,,
Kiwarrak,2430,,
Koorainghat,2430,,
Kundle Kundle,2430,,
Lansdowne,2430,,
Lansdowne Forest,2430,2021-11-12,N/A
Manning Point,2430,,
Melinga,2430,,
Mitchells Island,2430,,
Mondrook,2430,,
Old Bar,2430,,
Oxley Island,2430,,
Pampoolah,2430,,
Possum Brush,2430,,
Purfleet,2430,,
Rainbow Flat,2430,,
Red Head,2430,,
Saltwater,2430,,
Tallwoods Village,2430,,
Taree,2430,,
Taree South,2430,,
Tinonee,2430,,
Upper Lansdowne,2430,2021-11-12,N/A
Wallabi Point,2430,,
Arakoon,2431,,
Jerseyville,2431,,
South West Rocks,2431,,
Batar Creek,2439,2021-11-12,N/A
Black Creek,2439,2021-11-12,N/A
Bobs Creek,2439,2021-11-12,N/A
Herons Creek,2439,2021-11-12,N/A
Kendall,2439,2021-11-12,113685308
Kerewong,2439,2021-11-12,N/A
Kew,2439,2021-11-12,113685308
Logans Crossing,2439,2021-11-12,N/A
Lorne,2439,2021-11-12,N/A
Rossglen,2439,2021-11-12,N/A
Swans Crossing,2439,2021-11-12,N/A
Upsalls Creek,2439,,
Aldavilla,2440,,
Austral Eden,2440,,
Bellbrook,2440,,
Bellimbopinni,2440,,
Belmore River,2440,,
Burnt Bridge,2440,,
Carrai,2440,,
Clybucca,2440,,
Collombatti,2440,,
Comara,2440,,
Corangula,2440,,
Crescent Head,2440,,
Deep Creek,2440,,
Dondingalong,2440,,
East Kempsey,2440,,
Euroka,2440,,
Frederickton,2440,,
Gladstone,2440,,
Greenhill,2440,,
Hampden Hall,2440,,
Hat Head,2440,,
Hickeys Creek,2440,,
Kempsey,2440,,
Kinchela,2440,,
Lower Creek,2440,,
Millbank,2440,,
Mooneba,2440,,
Moparrabah,2440,,
Mungay Creek,2440,,
Old Station,2440,,
Pola Creek,2440,,
Rainbow Reach,2440,,
Seven Oaks,2440,,
Sherwood,2440,,
Skillion Flat,2440,,
Smithtown,2440,,
South Kempsey,2440,,
Summer Island,2440,,
Temagog,2440,,
Toorooka,2440,,
Turners Flat,2440,,
Verges Creek,2440,,
West Kempsey,2440,,
Willawarrin,2440,,
Willi Willi,2440,,
Wittitrin,2440,,
Yarravel,2440,,
Yessabah,2440,,
Allgomera,2441,,
Ballengarra,2441,,
Barraganyatti,2441,,
Bril Bril,2441,,
Cooperabung,2441,,
Eungai Creek,2441,,
Eungai Rail,2441,,
Fishermans Reach,2441,,
Gearys Flat,2441,,
Grassy Head,2441,,
Gum Scrub,2441,,
Hacks Ferry,2441,,
Kippara,2441,,
Kundabung,2441,,
Marlo Merrican,2441,,
Rollands Plains,2441,,
Stuarts Point,2441,,
Tamban,2441,,
Telegraph Point,2441,,
Upper Rollands Plains,2441,,
Yarrahapinni,2441,,
Camden Head,2443,,
Coralville,2443,2021-11-12,N/A
Crowdy Bay,2443,2021-11-12,N/A
Deauville,2443,,
Diamond Head,2443,,
Dunbogan,2443,,
Hannam Vale,2443,,
Johns River,2443,,
Lakewood,2443,2021-11-12,113685308
Laurieton,2443,2021-11-12,113685308
Middle Brother,2443,,
Moorland,2443,,
North Brother,2443,,
North Haven,2443,2021-11-12,113685308
Stewarts River,2443,2021-11-12,N/A
Waitui,2443,,
West Haven,2443,2021-11-12,113685308
Blackmans Point,2444,,
Fernbank Creek,2444,,
Limeburners Creek,2444,,
North Shore,2444,,
Port Macquarie,2444,2021-06-20,106663911
Riverside,2444,,
The Hatch,2444,,
Thrumster,2444,2020-12-17,95995121
Bonny Hills,2445,2021-11-12,113685308
Grants Beach,2445,,
Jolly Nose,2445,2021-11-12,N/A
Lake Cathie,2445,2021-11-12,113685308
Bagnoo,2446,,
Bago,2446,,
Banda Banda,2446,,
Beechwood,2446,,
Bellangry,2446,,
Birdwood,2446,,
Brombin,2446,2021-06-20,N/A
Byabarra,2446,,
Cairncross,2446,,
Crosslands,2446,2021-06-20,N/A
Debenham,2446,,
Doyles River,2446,,
Ellenborough,2446,,
Forbes River,2446,,
Frazers Creek,2446,,
Hartys Plains,2446,2021-06-20,N/A
Hollisdale,2446,,
Huntingdon,2446,2021-06-20,N/A
Hyndmans Creek,2446,,
Kindee,2446,,
King Creek,2446,,
Lake Innes,2446,2021-06-20,N/A
Long Flat,2446,,
Lower Pappinbarra,2446,,
Mortons Creek,2446,,
Mount Seaview,2446,,
Pappinbarra,2446,,
Pembrooke,2446,,
Pipeclay,2446,,
Rawdon Island,2446,2021-06-20,N/A
Redbank,2446,2021-06-20,N/A
Rosewood,2446,2021-06-20,N/A
Sancrox,2446,,
Toms Creek,2446,,
Upper Pappinbarra,2446,,
Wauchope,2446,2021-02-14,99239084
Werrikimbe,2446,,
Yarras,2446,,
Yippin Creek,2446,2021-06-20,N/A
Bakers Creek,2447,,
Burrapine,2447,,
Congarinni,2447,,
Congarinni North,2447,,
Donnellyville,2447,,
Gumma,2447,,
Macksville,2447,,
Newee Creek,2447,,
North Macksville,2447,,
Scotts Head,2447,,
Talarm,2447,,
Taylors Arm,2447,,
Thumb Creek,2447,,
Upper Taylors Arm,2447,,
Utungun,2447,,
Warrell Creek,2447,,
Way Way,2447,,
Wirrimbi,2447,,
Yarranbella,2447,,
Hyland Park,2448,,
Nambucca Heads,2448,,
Valla,2448,,
Valla Beach,2448,,
Argents Hill,2449,,
Bowraville,2449,,
Buckra Bendinni,2449,,
Girralong,2449,,
Kennaicle Creek,2449,,
Killiekrankie,2449,,
Missabotti,2449,,
South Arm,2449,,
Tewinga,2449,,
Boambee,2450,,
Bonville,2450,,
Brooklana,2450,,
Bucca,2450,,
Coffs Harbour,2450,,
Coramba,2450,,
Glenreagh,2450,,
Karangi,2450,,
Korora,2450,,
Lowanna,2450,,
Moonee Beach,2450,,
Nana Glen,2450,,
North Boambee Valley,2450,,
Sapphire Beach,2450,,
Sherwood,2450,,
Ulong,2450,,
Upper Orara,2450,,
Boambee East,2452,,
Sawtell,2452,,
Toormina,2452,,
Bielsdown Hills,2453,,
Billys Creek,2453,,
Bostobrick,2453,,
Cascade,2453,,
Clouds Creek,2453,,
Deer Vale,2453,,
Dorrigo,2453,,
Dorrigo Mountain,2453,,
Dundurrabin,2453,,
Ebor,2453,,
Fernbrook,2453,,
Hernani,2453,,
Marengo,2453,,
Megan,2453,,
Moonpar,2453,,
Never Never,2453,,
North Dorrigo,2453,,
Tallowwood Ridge,2453,,
Tyringham,2453,,
Wild Cattle Creek,2453,,
Bellingen,2454,,
Brierfield,2454,,
Brinerville,2454,,
Bundagen,2454,,
Darkwood,2454,,
Fernmount,2454,,
Gleniffer,2454,,
Hydes Creek,2454,,
Kalang,2454,,
Mylestom,2454,,
Raleigh,2454,,
Repton,2454,,
Spicketts Creek,2454,,
Thora,2454,,
Valery,2454,,
Urunga,2455,,
Arrawarra,2456,,
Arrawarra Headland,2456,,
Corindi Beach,2456,,
Dirty Creek,2456,,
Emerald Beach,2456,,
Mullaway,2456,,
Red Rock,2456,,
Safety Beach,2456,,
Sandy Beach,2456,,
Upper Corindi,2456,,
Woolgoolga,2456,,
Alumy Creek,2460,,
Banyabba,2460,,
Barcoongere,2460,,
Barretts Creek,2460,,
Baryulgil,2460,,
Blaxlands Creek,2460,,
Bom Bom,2460,,
Bookram,2460,,
Braunstone,2460,,
Brushgrove,2460,,
Buccarumbi,2460,,
Calamia,2460,,
Cangai,2460,,
Carnham,2460,,
Carrs Creek,2460,,
Carrs Island,2460,,
Carrs Peninsula,2460,,
Chaelundi,2460,,
Chambigne,2460,,
Clarenza,2460,,
Clifden,2460,,
Coaldale,2460,,
Collum Collum,2460,,
Coombadjha,2460,,
Copmanhurst,2460,,
Coutts Crossing,2460,,
Cowper,2460,,
Crowther Island,2460,,
Dalmorton,2460,,
Deep Creek,2460,,
Dilkoon,2460,,
Dumbudgery,2460,,
Eatonsville,2460,,
Eighteen Mile,2460,,
Elland,2460,,
Fine Flower,2460,,
Fortis Creek,2460,,
Glenugie,2460,,
Grafton,2460,,
Great Marlow,2460,,
Gurranang,2460,,
Halfway Creek,2460,,
Heifer Station,2460,,
Jackadgery,2460,,
Junction Hill,2460,,
Kangaroo Creek,2460,,
Keybarbin,2460,,
Koolkhan,2460,,
Kremnos,2460,,
Kungala,2460,,
Kyarran,2460,,
Lanitza,2460,,
Lawrence,2460,,
Levenstrath,2460,,
Lilydale,2460,,
Lionsville,2460,,
Lower Southgate,2460,,
Malabugilmah,2460,,
Moleville Creek,2460,,
Mountain View,2460,,
Mylneford,2460,,
Newbold,2460,,
Nymboida,2460,,
Pulganbar,2460,,
Punchbowl,2460,,
Ramornie,2460,,
Rushforth,2460,,
Sandy Crossing,2460,,
Seelands,2460,,
Shannondale,2460,,
Smiths Creek,2460,,
South Arm,2460,,
South Grafton,2460,,
Southampton,2460,,
Southgate,2460,,
Stockyard Creek,2460,,
The Pinnacles,2460,,
The Whiteman,2460,,
Towallum,2460,,
Trenayr,2460,,
Tyndale,2460,,
Upper Copmanhurst,2460,,
Upper Fine Flower,2460,,
Warragai Creek,2460,,
Washpool,2460,,
Waterview,2460,,
Waterview Heights,2460,,
Wells Crossing,2460,,
Whiteman Creek,2460,,
Winegrove,2460,,
Wombat Creek,2460,,
Calliope,2462,,
Coldstream,2462,,
Diggers Camp,2462,,
Gilletts Ridge,2462,,
Lake Hiawatha,2462,,
Lavadia,2462,,
Minnie Water,2462,,
Pillar Valley,2462,,
Swan Creek,2462,,
Tucabia,2462,,
Ulmarra,2462,,
Wooli,2462,,
Ashby,2463,,
Ashby Heights,2463,,
Ashby Island,2463,,
Brooms Head,2463,,
Gulmarrad,2463,,
Ilarwill,2463,,
Jacky Bulbin Flat,2463,,
James Creek,2463,,
Maclean,2463,,
Palmers Channel,2463,,
Palmers Island,2463,,
Sandon,2463,,
Shark Creek,2463,,
Taloumbi,2463,,
The Sandon,2463,,
Townsend,2463,,
Tullymorgan,2463,,
Woodford Island,2463,,
Angourie,2464,,
Freeburn Island,2464,,
Micalo Island,2464,,
Wooloweyah,2464,,
Yamba,2464,,
Yuraygir,2464,,
Harwood,2465,,
Iluka,2466,,
The Freshwater,2466,,
Woody Head,2466,,
Alice,2469,,
Bean Creek,2469,,
Bingeebeebra Creek,2469,,
Bonalbo,2469,,
Bottle Creek,2469,,
Bulldog,2469,,
Bungawalbin,2469,,
Busbys Flat,2469,,
Cambridge Plateau,2469,,
Camira,2469,,
Capeen Creek,2469,,
Chatsworth,2469,,
Clearfield,2469,,
Coongbar,2469,,
Culmaran Creek,2469,,
Deep Creek,2469,,
Drake,2469,,
Drake Village,2469,,
Duck Creek,2469,,
Ewingar,2469,,
Gibberagee,2469,,
Goodwood Island,2469,,
Gorge Creek,2469,,
Haystack,2469,,
Hogarth Range,2469,,
Jacksons Flat,2469,,
Joes Box,2469,,
Kippenduff,2469,,
Louisa Creek,2469,,
Lower Bottle Creek,2469,,
Lower Duck Creek,2469,,
Lower Peacock,2469,,
Mallanganee,2469,,
Mookima Wybra,2469,,
Mororo,2469,,
Mount Marsh,2469,,
Mummulgum,2469,,
Myrtle Creek,2469,,
Old Bonalbo,2469,,
Paddys Flat,2469,,
Pagans Flat,2469,,
Peacock Creek,2469,,
Pikapene,2469,,
Rappville,2469,,
Sandilands,2469,,
Simpkins Creek,2469,,
Six Mile Swamp,2469,,
Tabulam,2469,,
Theresa Creek,2469,,
Tunglebung,2469,,
Upper Duck Creek,2469,,
Warregah Island,2469,,
Whiporie,2469,,
Woombah,2469,,
Wyan,2469,,
Yabbra,2469,,
Babyl Creek,2470,,
Backmede,2470,,
Casino,2470,,
Coombell,2470,,
Dobies Bight,2470,,
Doubtful Creek,2470,,
Dyraaba,2470,,
Ellangowan,2470,,
Fairy Hill,2470,,
Irvington,2470,,
Leeville,2470,,
Lower Dyraaba,2470,,
Mongogarie,2470,,
Naughtons Gap,2470,,
North Casino,2470,,
Piora,2470,,
Sextonville,2470,,
Shannon Brook,2470,,
Spring Grove,2470,,
Stratheden,2470,,
Tomki,2470,,
Upper Mongogarie,2470,,
Woodview,2470,,
Woolners Arm,2470,,
Yorklea,2470,,
Bora Ridge,2471,,
Codrington,2471,,
Coraki,2471,,
East Coraki,2471,,
Green Forest,2471,,
Greenridge,2471,,
North Woodburn,2471,,
Swan Bay,2471,,
Tatham,2471,,
West Bungawalbin,2471,,
West Coraki,2471,,
Broadwater,2472,,
Buckendoon,2472,,
Esk,2472,,
Kilgin,2472,,
New Italy,2472,,
Rileys Hill,2472,,
Tabbimoble,2472,,
The Gap,2472,,
Woodburn,2472,,
Doonbah,2473,,
Evans Head,2473,,
Afterlee,2474,,
Barkers Vale,2474,,
Border Ranges,2474,,
Cawongla,2474,,
